Store,Dept,Date,Weekly_Sales,IsHoliday
1,1,2011-11-11,18689.54,False
1,1,2011-11-18,19050.66,False
1,1,2011-11-25,20911.25,True
1,1,2011-12-02,25293.49,False
1,1,2011-12-09,33305.92,False
1,1,2011-12-16,45773.03,False
1,1,2011-12-23,46788.75,False
1,1,2012-01-13,16894.4,False
1,1,2012-01-27,18378.16,False
1,1,2012-02-03,23510.49,False
1,1,2012-02-10,36988.49,True
1,1,2012-02-17,54060.1,False
1,1,2012-03-02,20113.03,False
1,1,2012-03-09,21140.07,False
1,1,2012-03-16,22366.88,False
1,1,2012-03-23,22107.7,False
1,1,2012-04-06,57592.12,False
1,1,2012-04-27,16347.6,False
1,1,2012-05-04,17147.44,False
1,1,2012-05-11,18164.2,False
1,1,2012-05-25,16963.55,False
1,1,2012-06-01,16065.49,False
1,1,2012-06-08,17666.0,False
1,1,2012-06-22,16633.41,False
1,1,2012-06-29,15722.82,False
1,1,2012-07-27,15731.18,False
1,1,2012-08-10,16119.92,False
1,1,2012-08-17,17330.7,False
1,1,2012-09-14,19616.22,False
1,1,2012-09-21,19251.5,False
1,1,2012-09-28,18947.81,False
1,1,2012-10-05,21904.47,False
1,1,2012-10-19,24185.27,False
1,2,2011-11-11,44936.47,False
1,2,2011-11-18,43997.78,False
1,2,2011-12-02,45928.14,False
1,2,2011-12-16,51137.42,False
1,2,2011-12-23,65615.36,False
1,2,2012-01-27,41556.23,False
1,2,2012-02-03,54322.24,False
1,2,2012-02-10,50581.06,True
1,2,2012-03-02,52608.51,False
1,2,2012-03-09,48563.69,False
1,2,2012-03-16,47346.32,False
1,2,2012-03-23,44796.03,False
1,2,2012-03-30,46529.68,False
1,2,2012-04-06,51805.88,False
1,2,2012-04-13,43991.18,False
1,2,2012-04-27,45456.23,False
1,2,2012-05-11,46717.76,False
1,2,2012-05-25,45817.07,False
1,2,2012-06-01,47425.29,False
1,2,2012-06-08,49439.58,False
1,2,2012-06-15,46637.48,False
1,2,2012-06-22,46075.0,False
1,2,2012-06-29,47629.14,False
1,2,2012-07-06,49771.92,False
1,2,2012-07-20,45108.22,False
1,2,2012-07-27,45008.22,False
1,2,2012-08-03,49424.06,False
1,2,2012-08-10,46729.91,False
1,2,2012-08-31,50995.5,False
1,2,2012-09-07,47344.5,True
1,2,2012-09-14,44493.61,False
1,2,2012-09-21,43541.07,False
